,Interval,Subject Type,Frame Index,Timestamp(x),Orbital,Nose,Ears,Whiskers,Cheek,Total Grimace Score,AU Scored,Confidence(Orbital),Confidence(Nose),Confidence(Ears),Confidence(Whiskers),Confidence(Cheek),Face Model,MGS Model
110,Clip 4: 090.csv,c57bl/6,26400,110.02,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
111,Clip 4: 090.csv,c57bl/6,26640,111.021,-1,-1,1,-1,,,1,0.0,0.0,0.9999723434448242,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
112,Clip 4: 090.csv,c57bl/6,26880,112.02199999999999,-1,0,1,-1,,,2,0.0,0.9999949932098388,0.9980915188789368,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
113,Clip 4: 090.csv,c57bl/6,27120,113.023,-1,0,1,1,,,3,0.0,0.9411087036132812,0.999974012374878,0.9986555576324464,,general/fau/generalv5,c57bl6-pain-mgs-20220901
114,Clip 4: 090.csv,c57bl/6,27360,114.024,0,-1,1,-1,,,2,0.7433352470397949,0.0,0.9748355150222778,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
115,Clip 4: 090.csv,c57bl/6,27600,115.025,1,2,-1,1,,,3,0.999910831451416,0.999997854232788,0.0,0.9992964267730712,,general/fau/generalv5,c57bl6-pain-mgs-20220901
116,Clip 4: 090.csv,c57bl/6,27840,116.026,0,-1,2,0,,,3,0.9997451901435852,0.0,0.8615919947624207,1.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
117,Clip 4: 090.csv,c57bl/6,28080,117.027,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
118,Clip 4: 090.csv,c57bl/6,28320,118.02799999999999,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
119,Clip 4: 090.csv,c57bl/6,28560,119.029,1,-1,2,-1,,,2,0.9993544220924376,0.0,0.5486797094345093,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
120,Clip 5: 120.csv,c57bl/6,28800,120.0,2,-1,-1,-1,,,1,0.9999715089797974,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
121,Clip 5: 120.csv,c57bl/6,29040,121.001,1,-1,2,1,,,3,0.998946726322174,0.0,0.9761606454849244,0.9987659454345704,,general/fau/generalv5,c57bl6-pain-mgs-20220901
122,Clip 5: 120.csv,c57bl/6,29280,122.002,1,0,1,1,,3.0,4,0.9169612526893616,1.0,0.9999935626983644,0.9998997449874878,,general/fau/generalv5,c57bl6-pain-mgs-20220901
123,Clip 5: 120.csv,c57bl/6,29520,123.003,0,0,1,-1,,,3,0.9463542699813844,0.9933835864067078,0.8439565896987915,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
124,Clip 5: 120.csv,c57bl/6,29760,124.004,0,2,1,-1,,,3,0.9999995231628418,0.9983704686164856,0.9999275207519532,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
125,Clip 5: 120.csv,c57bl/6,30000,125.005,0,0,1,0,,1.0,4,0.6726505160331726,1.0,0.5701202750205994,0.9992871880531312,,general/fau/generalv5,c57bl6-pain-mgs-20220901
126,Clip 5: 120.csv,c57bl/6,30240,126.006,0,-1,1,-1,,,2,0.9981635212898254,0.0,0.9998652935028076,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
127,Clip 5: 120.csv,c57bl/6,30480,127.007,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
128,Clip 5: 120.csv,c57bl/6,30720,128.008,1,-1,-1,-1,,,1,0.997158408164978,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
129,Clip 5: 120.csv,c57bl/6,30960,129.00900000000001,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
130,Clip 5: 120.csv,c57bl/6,31200,130.01,-1,-1,-1,1,,,1,0.0,0.0,0.0,0.9999603033065796,,general/fau/generalv5,c57bl6-pain-mgs-20220901
131,Clip 5: 120.csv,c57bl/6,31440,131.011,2,0,2,-1,,,3,0.993657648563385,0.992528200149536,0.9999639987945556,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
132,Clip 5: 120.csv,c57bl/6,31680,132.012,1,0,-1,-1,,,2,0.934847891330719,0.9994810223579408,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
133,Clip 5: 120.csv,c57bl/6,31920,133.013,1,2,1,-1,,,3,0.9991708993911744,0.9271621704101562,0.997654914855957,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
134,Clip 5: 120.csv,c57bl/6,32160,134.014,0,0,1,0,,1.0,4,0.999996542930603,0.9883573651313782,0.9960986375808716,0.998809576034546,,general/fau/generalv5,c57bl6-pain-mgs-20220901
135,Clip 5: 120.csv,c57bl/6,32400,135.015,1,2,2,-1,,,3,0.9905319213867188,0.9995461106300354,0.999079704284668,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
136,Clip 5: 120.csv,c57bl/6,32640,136.016,0,2,1,1,,4.0,4,0.9999998807907104,0.9964281916618348,0.9153068661689758,0.9997557997703552,,general/fau/generalv5,c57bl6-pain-mgs-20220901
137,Clip 5: 120.csv,c57bl/6,32880,137.017,1,-1,1,-1,,,2,0.9975870847702026,0.0,0.9999998807907104,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
138,Clip 5: 120.csv,c57bl/6,33120,138.018,1,0,-1,-1,,,2,0.94730144739151,0.9893295168876648,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
139,Clip 5: 120.csv,c57bl/6,33360,139.019,-1,-1,1,-1,,,1,0.0,0.0,0.9998754262924194,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
140,Clip 5: 120.csv,c57bl/6,33600,140.02,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
141,Clip 5: 120.csv,c57bl/6,33840,141.02100000000002,-1,-1,1,-1,,,1,0.0,0.0,1.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
